"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"G5-100082","armbrust_grc_rnaseq_21",1642384,"Complete; Pass","UW55","g5-uw-am-ns.02-12.A","TN412","g5","transect","g5-uw-am-ns","AM",12,NA,"A",2025-02-12 06:05:00,2025-02-12 15:05:00,2.14,-141.96,5,0.2,10,NA,NA,"no ""UW"" metametabolome, but they had a T0 from the stayfish at the same time."
"G5-100083","armbrust_grc_rnaseq_21",1642376,"Complete; Pass","UW44","g5-uw-am-ns.02-12.B","TN412","g5","transect","g5-uw-am-ns","AM",12,NA,"B",2025-02-12 06:05:00,2025-02-12 15:05:00,2.14,-141.96,5,0.2,10,NA,NA,"no ""UW"" metametabolome, but they had a T0 from the stayfish at the same time."
"G5-100084","armbrust_grc_rnaseq_21",1642338,"Complete; Pass","UW45","g5-uw-am-ns.02-12.C","TN412","g5","transect","g5-uw-am-ns","AM",12,NA,"C",2025-02-12 06:05:00,2025-02-12 15:05:00,2.14,-141.96,5,0.2,10,NA,NA,"no ""UW"" metametabolome, but they had a T0 from the stayfish at the same time."
"G5-100085","armbrust_grc_rnaseq_21",1642394,"Complete; Pass","UW17","g5-uw-am-ns.02-13.A","TN412","g5","transect","g5-uw-am-ns","AM",13,NA,"A",2025-02-13 06:04:00,2025-02-13 16:04:00,5.3,-144.53,5,0.2,10,NA,NA,""
"G5-100086","armbrust_grc_rnaseq_21",1642393,"Complete; Pass","UW2","g5-uw-am-ns.02-13.B","TN412","g5","transect","g5-uw-am-ns","AM",13,NA,"B",2025-02-13 06:04:00,2025-02-13 16:04:00,5.3,-144.53,5,0.2,10,NA,NA,""
"G5-100087","armbrust_grc_rnaseq_21",1642343,"Complete; Pass","UW19","g5-uw-am-ns.02-13.C","TN412","g5","transect","g5-uw-am-ns","AM",13,NA,"C",2025-02-13 06:04:00,2025-02-13 16:04:00,5.3,-144.53,5,0.2,10,NA,NA,""
"G5-100088","armbrust_grc_rnaseq_21",1642337,"Complete; Pass","UW4","g5-uw-am-ns.02-14.A","TN412","g5","transect","g5-uw-am-ns","AM",16,NA,"A",2025-02-14 06:05:00,2025-02-14 16:05:00,8.54,-147.27,5,0.2,10,NA,NA,""
"G5-100089","armbrust_grc_rnaseq_21",1642400,"Complete; Pass","UW26","g5-uw-am-ns.02-14.B","TN412","g5","transect","g5-uw-am-ns","AM",16,NA,"B",2025-02-14 06:05:00,2025-02-14 16:05:00,8.54,-147.27,5,0.2,10,NA,NA,""
"G5-100090","armbrust_grc_rnaseq_21",1642367,"Complete; Pass","UW39","g5-uw-am-ns.02-14.C","TN412","g5","transect","g5-uw-am-ns","AM",16,NA,"C",2025-02-14 06:05:00,2025-02-14 16:05:00,8.54,-147.27,5,0.2,10,NA,NA,""
"G5-100091","armbrust_grc_rnaseq_21",1642361,"Complete; Pass","UW31","g5-uw-am-ns.02-15.A","TN412","g5","transect","g5-uw-am-ns","AM",17,NA,"A",2025-02-15 05:31:00,2025-02-15 15:31:00,11.65,-149.87,5,0.2,10,NA,NA,""
"G5-100092","armbrust_grc_rnaseq_21",1642388,"Complete; Pass","UW33","g5-uw-am-ns.02-15.B","TN412","g5","transect","g5-uw-am-ns","AM",17,NA,"B",2025-02-15 05:31:00,2025-02-15 15:31:00,11.65,-149.87,5,0.2,10,NA,NA,""
"G5-100093","armbrust_grc_rnaseq_21",1642341,"Complete; Pass","UW68","g5-uw-am-ns.02-15.C","TN412","g5","transect","g5-uw-am-ns","AM",17,NA,"C",2025-02-15 05:31:00,2025-02-15 15:31:00,11.65,-149.87,5,0.2,10,NA,NA,""
"G5-100094","armbrust_grc_rnaseq_21",1642404,"Complete; Pass","UW35","g5-uw-am-ns.02-16.A","TN412","g5","transect","g5-uw-am-ns","AM",19,NA,"A",2025-02-16 05:35:00,2025-02-16 15:35:00,15.08,-152.76,5,0.2,10,NA,NA,""
"G5-100095","armbrust_grc_rnaseq_21",1642339,"Complete; Pass","UW54","g5-uw-am-ns.02-16.B","TN412","g5","transect","g5-uw-am-ns","AM",19,NA,"B",2025-02-16 05:35:00,2025-02-16 15:35:00,15.08,-152.76,5,0.2,10,NA,NA,""
"G5-100096","armbrust_grc_rnaseq_21",1642353,"Complete; Pass","UW9","g5-uw-am-ns.02-16.C","TN412","g5","transect","g5-uw-am-ns","AM",19,NA,"C",2025-02-16 05:35:00,2025-02-16 15:35:00,15.08,-152.76,5,0.2,10,NA,NA,""
"G5-100097","armbrust_grc_rnaseq_21",1642392,"Complete; Pass","UW34","g5-uw-am-ns.02-17.A","TN412","g5","transect","g5-uw-am-ns","AM",NA,NA,"A",2025-02-17 05:47:00,2025-02-17 15:47:00,18.72,-155.76,5,0.2,10,NA,NA,""
"G5-100098","armbrust_grc_rnaseq_21",1642408,"Complete; Pass","UW47","g5-uw-am-ns.02-17.B","TN412","g5","transect","g5-uw-am-ns","AM",NA,NA,"B",2025-02-17 05:47:00,2025-02-17 15:47:00,18.72,-155.76,5,0.2,10,NA,NA,""
"G5-100099","armbrust_grc_rnaseq_21",1642355,"Complete; Pass","UW6","g5-uw-am-ns.02-17.C","TN412","g5","transect","g5-uw-am-ns","AM",NA,NA,"C",2025-02-17 05:47:00,2025-02-17 15:47:00,18.72,-155.76,5,0.2,10,NA,NA,""
