"","sample_name","sample_id","BPDExtraSmall1","BPDExtraSmall2","BPDSmall1","BPDSmall2","BPDMedium1","BPDMedium2","BPDLarge1","BPDLarge2","SmallStandard1","SmallStandard2","MediumStandard1","MediumStandard2","LargeStandard1","LargeStandard2","PA_added","NS_added","volume","flag","MEAN","ratio","xFactor","NORM_FACTOR"
"64","MS68.sam","MS68",18871,3783,96371,103023,257745,222115,243521,150639,102,49,223,173,327,270,5230198630,13580968026,7,"",145695.166666667,2.78565264865795e-05,35898.2301860849,5128.31859801213
"65","MS69.sam","MS69",42977,9414,233941,248220,549980,469038,529467,344184,92,58,265,229,435,373,5230198630,13580968026,8,"",315469.833333333,6.03169890190831e-05,16579.0769112102,2072.38461390128
"66","MS70.sam","MS70",25117,5391,108099,111917,250638,211640,229183,152208,42,27,72,75,118,78,5230198630,13580968026,8.5,"",140623,2.68867417756178e-05,37193.0525589697,4375.65324223173
"67","MS75.sam","MS75",12574,2545,53486,68445,145297,109918,120720,75336,41,15,76,71,120,103,5230198630,13580968026,7,"",75221.1666666667,1.43820860330627e-05,69530.9427089449,9932.99181556356
"68","MS76.sam","MS76",8955,1735,35272,43622,102751,83222,93984,58282,31,16,36,29,52,40,5230198630,13580968026,6.5,"",56381,1.07798965180028e-05,92765.2689735904,14271.5798420908
"69","MS77.sam","MS77",29465,6107,70092,82432,189685,147688,161329,107961,29,20,37,64,103,78,5230198630,13580968026,7,"",101118.666666667,1.93336188202601e-05,51723.3741544588,7389.05345063697
"70","MS78.sam","MS78",15742,3360,64603,72837,154161,129894,142551,93420,20,8,42,45,52,44,5230198630,13580968026,6.5,"",86675.6666666667,1.65721558201446e-05,60342.179427521,9283.41221961861
"71","MS79.sam","MS79",35660,7253,153029,166479,403359,337747,376769,240410,69,40,88,140,193,152,5230198630,13580968026,7,"",226399,4.32868837335151e-05,23101.6860940198,3300.24087057426
"72","MS80.sam","MS80",21933,4642,70476,89160,191081,137059,148156,104133,37,19,52,54,78,61,5230198630,13580968026,7,"",96747.5,1.8497863435829e-05,54060.297475387,7722.899639341
"73","MS83.sam","MS83",9351,1731,18812,24229,46858,34585,34466,24030,8,7,1,7,19,7,5230198630,13580968026,7,"",23325.6666666667,4.45980512726085e-06,224225.043800106,32032.1491143008
"74","MS84.sam","MS84",5390,1052,24638,30093,65942,53168,61150,39165,15,10,15,25,27,41,5230198630,13580968026,8,"",36575,6.99304225086381e-06,142999.279015721,17874.9098769651
"75","MS85.sam","MS85",6252,989,8920,13164,28675,20616,21146,14335,8,2,4,9,12,13,5230198630,13580968026,7,"",14130.3333333333,2.70168196907148e-06,370139.79122927,52877.1130327529
"76","MS87.sam","MS87",23108,4542,112942,129654,300346,248865,279898,176337,40,28,129,119,211,204,5230198630,13580968026,7,"",167585.666666667,3.20419315827527e-05,31209.1047762637,4458.44353946624
"77","MS94.sam","MS94",2667,341,6977,8676,16572,12417,14458,8798,0,1,4,6,10,6,5230198630,13580968026,5,"vol not sure",8707.66666666667,1.66488259484452e-06,600642.954101749,120128.59082035
"78","MS95.sam","MS95",14507,2257,66237,74214,156840,120574,140296,87420,31,20,147,108,220,208,5230198630,13580968026,5,"vol not sure",84196.8333333333,1.60982095116593e-05,62118.7094922414,12423.7418984483
"79","MS97.sam","MS97",5266,896,26514,31438,62853,50006,54797,32940,24,14,49,52,129,94,5230198630,13580968026,7,"",33439,6.39344743203376e-06,156410.13876013,22344.3055371615
"80","MS98.sam","MS98",11418,1939,43816,63879,125044,86058,97255,59060,34,14,71,56,168,149,5230198630,13580968026,7.5,"",61244.1666666667,1.1709720987531e-05,85399.1312914155,11386.5508388554
"81","MS99.sam","MS99",10057,1617,55232,61035,123803,101215,118577,71057,25,15,88,105,109,141,5230198630,13580968026,7,"",69115.3333333333,1.32146670179777e-05,75673.4920856925,10810.4988693846
"82","REXP1_LFeA.sam","REXP1_LFeA",10449,2083,16191,25296,54046,35419,34708,24686,2,3,5,8,9,10,5230198630,13580968026,7,"",24810.6666666667,4.74373315849893e-06,210804.43747313,30114.9196390185
