"","sample_name","sample_name_short","BPDExtraSmall1","BPDExtraSmall2","BPDSmall1","BPDSmall2","BPDMedium1","BPDMedium2","BPDLarge1","BPDLarge2","SmallStandard1","SmallStandard2","MediumStandard1","MediumStandard2","LargeStandard1","LargeStandard2","BPD_standards_added","BMS_prok_standards_added","volume_filtered","MEAN","ratio","xFactor","NORM_FACTOR"
"86","S14C1_0_2umA_L2","S14C1_0_2umA_",2175,1520,33665,38558,443281,412338,808249,1462742,2209,4039,67299,52488,469695,358169,5230198630,13580968026,10,236912.75,1.74444671062066e-05,57324.7662947646,5732.47662947646
"87","S14C1_0_2umB_L1","S14C1_0_2umB_",3674,2922,56677,65077,803663,707849,1284375,2570490,2200,4906,86624,84546,602467,535732,5230198630,13580968026,9,327342.25,2.41030130822281e-05,41488.5888576864,4609.8432064096
"88","S14C1_0_2umB_L2","S14C1_0_2umB_",3931,2729,57780,66154,809946,717806,1304261,2600852,2176,4914,87425,85396,610608,542680,5230198630,13580968026,9,331527.25,2.4411164901155e-05,40964.861941213,4551.65132680144
"89","S14C1_0_2umC_L1","S14C1_0_2umC_",4440,3087,60540,67715,848167,762972,1355271,2691520,2523,5003,93357,94634,706261,569842,5230198630,13580968026,8.5,366023.5,2.69512084336896e-05,37104.0876501099,4365.18678236587
"90","S14C1_0_2umC_L2","S14C1_0_2umC_",4429,3184,60709,68757,855158,773704,1367636,2721746,2632,5175,93873,95078,712421,576019,5230198630,13580968026,8.5,369347.75,2.71959811180547e-05,36770.1387811351,4325.89868013354
"91","S14C1_3umA_L1","S14C1_3umA_",2479,1061,32179,36959,399492,357839,607491,1196186,1580,3998,58731,48767,329237,310841,5230198630,13580968026,10,186894,1.37614638104001e-05,72666.6882082892,7266.66882082892
"92","S14C1_3umA_L2","S14C1_3umA_",2578,1050,32955,37319,403745,361438,615421,1211573,1600,3841,59511,48721,332197,315843,5230198630,13580968026,10,189068,1.39215407648439e-05,71831.129678211,7183.1129678211
"93","S14C1_3umB_L1","S14C1_3umB_",4548,1871,64729,68651,883487,719010,1241644,2530063,2027,4448,80269,91873,537292,558687,5230198630,13580968026,9,317030.25,2.33437152191996e-05,42838.0825678307,4759.78695198119
"94","S14C1_3umB_L2","S14C1_3umB_",4561,1902,65564,69262,893531,730601,1262307,2564296,1907,4529,81774,92643,544790,568545,5230198630,13580968026,9,321938,2.37050848940715e-05,42185.0419211152,4687.22688012392
"95","S14C1_3umC_L1","S14C1_3umC_",4680,1845,85997,94348,1062998,952641,1287508,2746471,2172,5381,98192,119851,579805,707419,5230198630,13580968026,8.5,376316.75,2.77091256882104e-05,36089.1935477228,4245.78747620268
"96","S14C1_3umC_L2","S14C1_3umC_",4524,1736,87276,95909,1075269,965382,1304769,2781527,2051,5307,98664,119987,584142,715747,5230198630,13580968026,8.5,379635,2.79534565778529e-05,35773.75117152,4208.67660841412
